activ	1888
catalyst	1840
reaction	1619
catalyt	1103
use	1021
oxid	906
select	769
surfac	711
high	685
site	635
hydrogen	634
studi	607
metal	591
structur	575
product	542
function	531
format	509
effici	504
effect	496
show	495
result	494
reduct	488
mechan	468
acid	467
oxygen	459
co	458
provid	449
bond	443
electron	417
co2	413
energi	406
support	405
also	400
differ	392
perform	387
speci	386
complex	377
report	376
increas	364
develop	363
densiti	355
carbon	347
via	345
demonstr	344
gener	340
atom	332
kinet	329
intermedi	328
reveal	320
however,	319
synthesi	316
form	315
stabil	311
potenti	310
pt	310
convers	306
design	299
group	298
higher	289
enhanc	287
highli	286
rate	283
import	276
electrochem	274
calcul	273
water	266
compar	263
direct	260
transfer	259
two	258
chemic	255
process	254
experiment	253
yield	252
method	251
exhibit	248
substrat	247
combin	246
enzym	245
model	243
improv	243
control	241
coupl	240
toward	240
investig	240
role	237
theori	237
reactiv	237
strategi	233
ligand	232
molecular	232
degre	231
found	231
herein,	229
state	227
addit	227
promot	226
reduc	224
step	221
observ	220
suggest	218
mechanist	218
nanoparticl	217
here,	217
present	216
low	215
=	215
x-ray	212
catalysi	211
situ	210
achiev	209
materi	206
catalysts.	204
produc	204
catalyz	203
adsorpt	203
condit	203
includ	202
lead	200
approach	196
system	195
understand	193
base	192
interact	191
spectroscopi	189
transit	187
presenc	187
promis	185
work	184
c-h	184
character	183
transform	182
evolut	181
similar	181
challeng	180
key	180
alcohol	180
prepar	178
enabl	178
pathway	176
pd	175
center	173
analysi	172
involv	172
due	171
could	170
well	170
radic	168
cu	167
indic	167
organ	167
comput	165
heterogen	164
remain	162
current	161
temperatur	161
h-2	160
obtain	160
variou	159
ni	154
applic	152
conditions.	152
lower	152
synthet	152
one	150
natur	150
properti	149
allow	148
synthes	147
recent	146
particl	146
insight	145
depend	145
propos	145
requir	145
rang	145
electrod	145
reaction.	145
dynam	144
identifi	142
chiral	142
photocatalyt	141
adsorb	140
ration	139
charg	139
favor	137
size	136
decreas	133
oer	132
phase	132
proton	132
methan	132
